Key,Value_Length,Read_Duration
lorem_855,6336,1.5020370483398438e-05
lorem_860,6366,1.4781951904296875e-05
lorem_865,6406,1.4781951904296875e-05
lorem_870,6485,1.4781951904296875e-05
lorem_875,6496,1.4781951904296875e-05
lorem_880,6508,1.4781951904296875e-05
lorem_885,6565,0.0006039142608642578
lorem_890,6614,2.288818359375e-05
lorem_895,6628,1.621246337890625e-05
lorem_900,6689,1.52587890625e-05
lorem_905,6728,1.621246337890625e-05
lorem_910,6754,0.0005519390106201172
lorem_915,6782,1.9073486328125e-05
lorem_920,6827,0.0005807876586914062
lorem_925,6858,0.0005931854248046875
lorem_930,6912,1.9311904907226562e-05
lorem_935,6928,1.5020370483398438e-05
lorem_940,6990,0.0005199909210205078
lorem_945,7011,1.71661376953125e-05
lorem_950,7044,1.5020370483398438e-05
lorem_955,7087,1.2874603271484375e-05
lorem_960,7114,0.0005080699920654297
lorem_965,7175,1.811981201171875e-05
lorem_970,7232,1.5020370483398438e-05
lorem_975,7233,1.3113021850585938e-05
lorem_980,7268,1.3113021850585938e-05
lorem_985,7301,0.0005049705505371094
lorem_990,7351,1.811981201171875e-05
lorem_995,7390,1.4066696166992188e-05
lorem_1000,7399,1.3828277587890625e-05
lorem_0,0,0.0001709461212158203
lorem_5,32,4.57763671875e-05
lorem_10,71,8.296966552734375e-05
lorem_15,113,4.7206878662109375e-05
lorem_20,161,4.696846008300781e-05
lorem_25,200,4.696846008300781e-05
lorem_30,214,4.506111145019531e-05
lorem_35,235,4.38690185546875e-05
lorem_40,297,4.458427429199219e-05
lorem_45,338,4.410743713378906e-05
lorem_50,347,4.291534423828125e-05
lorem_55,385,4.315376281738281e-05
lorem_60,423,0.001989126205444336
lorem_65,524,6.127357482910156e-05
lorem_70,529,2.9087066650390625e-05
lorem_75,566,0.0008831024169921875
lorem_80,595,0.000125885009765625
lorem_85,651,5.3882598876953125e-05
lorem_90,651,3.504753112792969e-05
lorem_95,698,3.218650817871094e-05
lorem_100,752,3.1948089599609375e-05
lorem_105,773,3.0994415283203125e-05
lorem_110,812,3.0994415283203125e-05
lorem_115,816,3.0994415283203125e-05
lorem_120,846,2.4080276489257812e-05
lorem_125,909,2.3126602172851562e-05
lorem_130,943,2.288818359375e-05
lorem_135,1021,0.0009679794311523438
lorem_140,1043,4.410743713378906e-05
lorem_145,1076,3.314018249511719e-05
lorem_150,1096,2.6702880859375e-05
lorem_155,1166,2.5033950805664062e-05
lorem_160,1181,0.0008289813995361328
lorem_165,1230,3.600120544433594e-05
lorem_170,1246,2.5987625122070312e-05
lorem_175,1305,2.5033950805664062e-05
lorem_180,1335,2.4080276489257812e-05
lorem_185,1364,2.3126602172851562e-05
lorem_190,1406,2.384185791015625e-05
lorem_195,1447,2.3126602172851562e-05
lorem_200,1476,2.384185791015625e-05
lorem_205,1510,2.4080276489257812e-05
lorem_210,1558,2.4080276489257812e-05
lorem_215,1590,2.4080276489257812e-05
lorem_220,1658,2.4080276489257812e-05
lorem_225,1685,2.288818359375e-05
lorem_230,1708,2.3126602172851562e-05
lorem_235,1757,2.3126602172851562e-05
lorem_240,1802,0.0007460117340087891
lorem_245,1819,3.1948089599609375e-05
lorem_250,1846,0.0007390975952148438
lorem_255,1874,3.504753112792969e-05
lorem_260,1927,2.5987625122070312e-05
lorem_265,1948,2.384185791015625e-05
lorem_270,2004,2.47955322265625e-05
lorem_275,2030,2.288818359375e-05
lorem_280,2067,2.3126602172851562e-05
lorem_285,2106,2.4080276489257812e-05
lorem_290,2128,2.288818359375e-05
lorem_295,2218,2.4080276489257812e-05
lorem_300,2241,0.0007176399230957031
lorem_305,2262,3.0994415283203125e-05
lorem_310,2318,2.574920654296875e-05
lorem_315,2303,2.47955322265625e-05
lorem_320,2360,2.288818359375e-05
lorem_325,2410,2.4080276489257812e-05
lorem_330,2441,2.4080276489257812e-05
lorem_335,2483,0.0007009506225585938
lorem_340,2536,0.0007021427154541016
lorem_345,2560,2.7179718017578125e-05
lorem_350,2599,2.09808349609375e-05
lorem_355,2636,2.002716064453125e-05
lorem_360,2675,2.002716064453125e-05
lorem_365,2709,1.9073486328125e-05
lorem_370,2731,0.0006060600280761719
lorem_375,2781,0.0006189346313476562
lorem_380,2830,2.7179718017578125e-05
lorem_385,2861,2.09808349609375e-05
lorem_390,2882,2.002716064453125e-05
lorem_395,2937,1.9788742065429688e-05
lorem_400,2986,2.002716064453125e-05
lorem_405,2986,1.9311904907226562e-05
lorem_410,3040,1.8835067749023438e-05
lorem_415,3080,1.8835067749023438e-05
lorem_420,3140,1.8835067749023438e-05
lorem_425,3150,2.002716064453125e-05
lorem_430,3186,1.8835067749023438e-05
lorem_435,3230,1.9073486328125e-05
lorem_440,3269,0.0006060600280761719
lorem_445,3308,2.6941299438476562e-05
lorem_450,3341,2.09808349609375e-05
lorem_455,3389,2.09808349609375e-05
lorem_460,3446,1.8835067749023438e-05
lorem_465,3442,1.8835067749023438e-05
lorem_470,3450,1.9073486328125e-05
lorem_475,3501,1.9073486328125e-05
lorem_480,3543,1.9311904907226562e-05
lorem_485,3615,0.0006372928619384766
lorem_490,3635,0.0005888938903808594
lorem_495,3659,2.5272369384765625e-05
lorem_500,3710,0.0005779266357421875
lorem_505,3783,0.000598907470703125
lorem_510,3786,2.6941299438476562e-05
lorem_515,3821,2.6941299438476562e-05
lorem_520,3861,1.9788742065429688e-05
lorem_525,3903,1.9073486328125e-05
lorem_530,3918,2.09808349609375e-05
lorem_535,3965,0.0006229877471923828
lorem_540,4005,0.0006117820739746094
lorem_545,4037,2.7179718017578125e-05
lorem_550,4088,2.09808349609375e-05
lorem_555,4107,2.0265579223632812e-05
lorem_560,4166,2.002716064453125e-05
lorem_565,4188,1.8835067749023438e-05
lorem_570,4240,1.8835067749023438e-05
lorem_575,4269,0.0006000995635986328
lorem_580,4315,2.7179718017578125e-05
lorem_585,4322,0.0005817413330078125
lorem_590,4371,2.6226043701171875e-05
lorem_595,4436,2.09808349609375e-05
lorem_600,4447,1.8835067749023438e-05
lorem_605,4516,2.09808349609375e-05
lorem_610,4506,2.002716064453125e-05
lorem_615,4600,1.9073486328125e-05
lorem_620,4578,1.5974044799804688e-05
lorem_625,4652,1.621246337890625e-05
lorem_630,4668,1.6927719116210938e-05
lorem_635,4674,1.6689300537109375e-05
lorem_640,4742,1.621246337890625e-05
lorem_645,4788,1.6927719116210938e-05
lorem_650,4814,1.621246337890625e-05
lorem_655,4853,1.5974044799804688e-05
lorem_660,4891,1.6927719116210938e-05
lorem_665,4895,1.621246337890625e-05
lorem_670,4988,1.6927719116210938e-05
lorem_675,5031,1.6689300537109375e-05
lorem_680,5055,1.6689300537109375e-05
lorem_685,5066,1.6927719116210938e-05
lorem_690,5126,0.0005230903625488281
lorem_695,5158,2.2172927856445312e-05
lorem_700,5177,1.811981201171875e-05
lorem_705,5253,1.71661376953125e-05
lorem_710,5271,0.0005359649658203125
lorem_715,5318,2.09808349609375e-05
lorem_720,5353,0.0005340576171875
lorem_725,5378,2.3126602172851562e-05
lorem_730,5417,0.0005409717559814453
lorem_735,5455,2.09808349609375e-05
lorem_740,5501,1.6927719116210938e-05
lorem_745,5525,0.0005578994750976562
lorem_750,5569,2.3126602172851562e-05
lorem_755,5619,1.5974044799804688e-05
lorem_760,5635,1.3828277587890625e-05
lorem_765,5691,1.4066696166992188e-05
lorem_770,5711,1.3828277587890625e-05
lorem_775,5715,0.0005259513854980469
lorem_780,5799,1.7881393432617188e-05
lorem_785,5801,1.4066696166992188e-05
lorem_790,5846,1.2874603271484375e-05
lorem_795,5878,1.5020370483398438e-05
lorem_800,5950,1.2159347534179688e-05
lorem_805,6002,1.2874603271484375e-05
lorem_810,6011,1.2874603271484375e-05
lorem_815,6045,0.0004570484161376953
lorem_820,6054,1.9073486328125e-05
lorem_825,6110,0.00048422813415527344
lorem_830,6173,1.811981201171875e-05
lorem_835,6216,1.4066696166992188e-05
lorem_840,6217,1.4066696166992188e-05
lorem_845,6259,1.3113021850585938e-05
lorem_850,6322,1.2874603271484375e-05
lorem_855,6336,1.2636184692382812e-05
lorem_860,6366,1.2874603271484375e-05
lorem_865,6406,1.1920928955078125e-05
lorem_870,6485,1.6927719116210938e-05
lorem_875,6496,1.71661376953125e-05
lorem_880,6508,1.5974044799804688e-05
lorem_885,6565,0.0005838871002197266
lorem_890,6614,2.4080276489257812e-05
lorem_895,6628,1.7881393432617188e-05
lorem_900,6689,1.6689300537109375e-05
lorem_905,6728,1.71661376953125e-05
lorem_910,6754,0.0005879402160644531
lorem_915,6782,1.8835067749023438e-05
lorem_920,6827,1.6927719116210938e-05
lorem_925,6858,0.0005121231079101562
lorem_930,6912,1.9073486328125e-05
lorem_935,6928,1.5020370483398438e-05
lorem_940,6990,0.0005280971527099609
lorem_945,7011,2.8133392333984375e-05
lorem_950,7044,1.71661376953125e-05
lorem_955,7087,1.621246337890625e-05
lorem_960,7114,0.0005292892456054688
lorem_965,7175,2.002716064453125e-05
lorem_970,7232,1.5020370483398438e-05
lorem_975,7233,1.5020370483398438e-05
lorem_980,7268,1.4781951904296875e-05
lorem_985,7301,0.0005180835723876953
lorem_990,7351,1.8835067749023438e-05
lorem_995,7390,1.5735626220703125e-05
lorem_1000,7399,1.4066696166992188e-05
